"id","terminal_id","tokens","cash","created_at","signature","__dt"
"59919","11","3.0","3.00","1613884882","5f10f60ce78b1b0f68b649cc5452ecef39d150364ee58c280fe256baf094337d","2021-02-21 00:00:00.000"
"60062","9","1.0","1.00","1613890498","f3076cffe729c95cb3e5b956cbec0a1f334484cd128368ce4d84366c373cd2a0","2021-02-21 00:00:00.000"
"49721","7","20.0","20.00","1612672753","ce647b8c0adccc7d4e0313ecef75eedd803a096796a5269db5804ae674f2d020","2021-02-07 00:00:00.000"
"49665","6","2.0","2.00","1612670849","858b37762c54e359f180a331612043a77ca49bf6bf331466ac41efb1e740374a","2021-02-07 00:00:00.000"
"60201","11","13.0","13.00","1613896699","fb59d3181d4d852019ec5d5c7b32c99830efde5a20fdf9a98201e1f2bb44256a","2021-02-21 00:00:00.000"
"60525","3","20.0","20.00","1613909103","241c43188bb3e93296c70bac8c2d3a762e9e523070c721575cd4cf527046d768","2021-02-21 00:00:00.000"
"60085","18","10.0","10.00","1613891079","f4f2d58eb57e2e7fb6569c12136db9477d5a3a3320b6ff6c25a452d96d50c762","2021-02-21 00:00:00.000"
"49759","2","20.0","20.00","1612674491","6eee11c087f6e7ca2b232f785dd7f4a9702f19cd231f33a70ba7f7457aee8250","2021-02-07 00:00:00.000"
"49875","11","28.0","27.00","1612678456","a4a6a8e90cad65d7d880038264fdb1c4493c0baee3dbcb9be49b07f484313b89","2021-02-07 00:00:00.000"
"59880","7","20.0","20.00","1613883826","274ee2f55f33d2bd5b7587ece06607db8c597621dc9fc9281b35e700b360fe5e","2021-02-21 00:00:00.000"
"49750","9","20.0","20.00","1612674134","d3991f7609b09036d41796bab1458ebafe2b6d4067e5e3f54d1da3b32ddbda22","2021-02-07 00:00:00.000"
"49587","16","6.0","6.00","1612668064","0fb39af1f7562c0423f205b657653cc4bd3341544756d875fd830b11319d2032","2021-02-07 00:00:00.000"
"49588","14","15.0","15.00","1612668068","033bdbdd7cab72d7f051864166ee413a523408c263ac456cd6bace2e996f5161","2021-02-07 00:00:00.000"
"49818","3","5.0","5.00","1612676496","fd3d53c1cdaaa7c6c735c9cfb4e4e1354cb4bdd344fda6d5920e471f6e19e681","2021-02-07 00:00:00.000"
"59796","2","20.0","20.00","1613881194","cb7a3d43b8cc66b8c2226eeb2fa12d89f88fb1dfb8219a83641631b94afabcaf","2021-02-21 00:00:00.000"
